,,,,,,,,,,,,,
,,,,,,,,,,,,,
s_coord,East_P,North_P,East_MP,North_MP,Max_speed,All_way_stop,Bus_stop,Right_curb_east,Right_curb_north,Left_curb_east,Left_curb_north,Center_line_east,Center_line_north
0,-415.7024391,597.2847973,,,5.555555556,0,0,-415.7024391,597.2847973,-415.7024391,597.2847973,-415.7024391,597.2847973
0.580303371,-415.1968381,597.5696123,,,5.555555556,0,0,-415.1968381,597.5696123,-415.1968381,597.5696123,-415.1968381,597.5696123
1.094795015,-414.7450756,597.8158081,,,5.555555556,0,0,-414.7450756,597.8158081,-414.7450756,597.8158081,-414.7450756,597.8158081
1.664752905,-414.2428181,598.0852323,,,5.555555556,0,0,-414.2428181,598.0852323,-414.2428181,598.0852323,-414.2428181,598.0852323
2.260915455,-413.7315712,598.3918857,,,5.555555556,0,0,-413.7315712,598.3918857,-413.7315712,598.3918857,-413.7315712,598.3918857
2.875648983,-413.1963084,598.6941953,,,5.555555556,0,0,-413.1963084,598.6941953,-413.1963084,598.6941953,-413.1963084,598.6941953
3.49579838,-412.6648499,599.0137843,,,5.555555556,0,0,-412.6648499,599.0137843,-412.6648499,599.0137843,-412.6648499,599.0137843
4.023069043,-412.2053009,599.2722975,,,5.555555556,0,0,-412.2053009,599.2722975,-412.2053009,599.2722975,-412.2053009,599.2722975
4.613903397,-411.6953132,599.5706224,,,5.555555556,0,0,-411.6953132,599.5706224,-411.6953132,599.5706224,-411.6953132,599.5706224
5.263841887,-411.1257591,599.883717,,,5.555555556,0,0,-411.1257591,599.883717,-411.1257591,599.883717,-411.1257591,599.883717
5.773292793,-410.6798316,600.130068,,,5.555555556,0,0,-410.6798316,600.130068,-410.6798316,600.130068,-410.6798316,600.130068
6.291478843,-410.2205509,600.3700223,,,5.555555556,0,0,-410.2205509,600.3700223,-410.2205509,600.3700223,-410.2205509,600.3700223
6.81277094,-409.7555317,600.6056122,,,5.555555556,0,0,-409.7555317,600.6056122,-409.7555317,600.6056122,-409.7555317,600.6056122
7.348318363,-409.2753054,600.8426643,,,5.555555556,0,0,-409.2753054,600.8426643,-409.2753054,600.8426643,-409.2753054,600.8426643
7.927909537,-408.7533263,601.0945845,,,5.555555556,0,0,-408.7533263,601.0945845,-408.7533263,601.0945845,-408.7533263,601.0945845
8.546968296,-408.2027378,601.3775792,,,5.555555556,0,0,-408.2027378,601.3775792,-408.2027378,601.3775792,-408.2027378,601.3775792
9.185225355,-407.6365686,601.6722393,,,5.555555556,0,0,-407.6365686,601.6722393,-407.6365686,601.6722393,-407.6365686,601.6722393
9.835565348,-407.0583949,601.9699931,,,5.555555556,0,0,-407.0583949,601.9699931,-407.0583949,601.9699931,-407.0583949,601.9699931
10.50885203,-406.4597587,602.278132,,,5.555555556,0,0,-406.4597587,602.278132,-406.4597587,602.278132,-406.4597587,602.278132
11.20232057,-405.8457211,602.6003997,,,5.555555556,0,0,-405.8457211,602.6003997,-405.8457211,602.6003997,-405.8457211,602.6003997
11.91120985,-405.2142341,602.9224993,,,5.555555556,0,0,-405.2142341,602.9224993,-405.2142341,602.9224993,-405.2142341,602.9224993
12.62846818,-404.5767838,603.2513103,,,5.555555556,0,0,-404.5767838,603.2513103,-404.5767838,603.2513103,-404.5767838,603.2513103
13.35781987,-403.9267134,603.5820101,,,5.555555556,0,0,-403.9267134,603.5820101,-403.9267134,603.5820101,-403.9267134,603.5820101
13.85995968,-403.480398,603.8121121,,,5.555555556,0,0,-403.480398,603.8121121,-403.480398,603.8121121,-403.480398,603.8121121
14.38540889,-403.0126047,604.0514159,,,5.555555556,0,0,-403.0126047,604.0514159,-403.0126047,604.0514159,-403.0126047,604.0514159
