,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_coordinate,East_P,North_P,East_MP,North_MP,Max_speed,Max_Speed_MP,All_way_stop,Bus_stop,Speed_bump,Ped_crossing,Left_curb_east,Left_curb_north,Right_curb_east,Right_curb_north,Bus_stop_line_east,Bus_stop_line_north,Center_line_east,Center_line_north,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,PI1_1_x,PI1_1_y,PI1_2_x,PI1_2_y,PI2_1_x,PI2_1_y,PI2_2_x,PI2_2_y
0.257180912,-0.1643398427,-0.1978242593,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,5.1019532068,3.6358236716,-0.682476937770844,-1.9500002861023,-0.682476937770844,-1.9500002861023,1.5286066518,1.5241521849,-12.7041677132,-16.1003278774,-1.0,-1.0,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,9.6176021737,-29.8151922086,7.459586073,-25.5299811837
0.8408186233,0.1965060091,-0.6565433992,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,5.1019532068,3.6358236716,-0.601047813892365,-2.16291999816895,-0.601047813892365,-2.16291999816895,2.0404962999,1.069950833,-12.7041677132,-16.1003278774,-1.0,-1.0,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,9.6176021737,-29.8151922086,7.459586073,-25.5299811837
1.3715553032,0.5380126727,-1.0628125491,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,5.1019532068,3.6358236716,-0.477555513381958,-2.32751321792603,-0.477555513381958,-2.32751321792603,2.3606498451,0.6623708075,-12.7041677132,-16.1003278774,-1.0,-1.0,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,62.0986109836,25.2542501636,39.1811284847,67.2055831205
1.9985764871,0.924976129,-1.5561834527,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,5.9628736705,2.6467329603,-0.371250569820404,-2.64551472663879,-0.371250569820404,-2.64551472663879,2.7162452616,0.1754039631,-12.7041677132,-16.1003278774,-1.0,-1.0,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,-43.2521810981,-24.5043104591,-73.1566716055,34.1620189646
2.6869503947,1.3751924835,-2.0769174257,0.0,0.0,5.5555555556,0.0,1.0,0.0,0.0,0.0,5.9628736705,2.6467329603,-0.371250566982653,-2.64551475259703,-0.371250566982653,-2.64551475259703,3.2379408072,-0.2959765369,-12.7041677132,-16.1003278774,-1.0,-1.0,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,-43.2521810981,-24.5043104591,-73.1566716055,34.1620189646
3.4524222281,1.9043766139,-2.6300098989,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,6.8237941341,1.657642249,0.50745686138022,-3.88858902908667,0.50745686138022,-3.88858902908667,3.5963522865,-0.6567901957,-12.7041677132,-16.1003278774,-1.0,-1.0,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,-43.2521810981,-24.5043104591,-73.1566716055,34.1620189646
4.0249240943,2.2712583758,-3.0695052454,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,6.8237941341,1.657642249,0.50745686138022,-3.88858902908667,0.50745686138022,-3.88858902908667,4.0924691478,-1.340341198,-12.7041677132,-16.1003278774,-1.0,-1.0,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,-43.2521810981,-24.5043104591,-73.1566716055,34.1620189646
4.6225330076,2.6413422639,-3.53873262,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,7.6847145977,0.6685515377,0.50745686138022,-3.88858902908667,0.50745686138022,-3.88858902908667,4.5060063069,-1.7885674436,-12.7041677132,-16.1003278774,-1.0,-1.0,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,-43.2521810981,-24.5043104591,-73.1566716055,34.1620189646
5.2637029156,3.0422266638,-4.0391230164,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,7.6847145977,0.6685515377,1.21716175793179,-5.46687434659137,1.21716175793179,-5.46687434659137,4.9209501824,-2.26525963,-12.7041677132,-16.1003278774,-1.0,-1.0,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,-43.2521810981,-24.5043104591,-73.1566716055,34.1620189646
5.9515197608,3.4966505008,-4.555447516,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,8.5456350614,-0.3205391736,1.21716175793179,-5.46687434659137,1.21716175793179,-5.46687434659137,5.2980078778,-2.841162408,-12.7041677132,-16.1003278774,-1.0,-1.0,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,-43.2521810981,-24.5043104591,-73.1566716055,34.1620189646
6.6571536859,3.9668956047,-5.081554709,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,8.5456350614,-0.3205391736,1.21716175793179,-5.46687434659137,1.21716175793179,-5.46687434659137,5.652041426,-3.472425743,-12.7041677132,-16.1003278774,-1.0,-1.0,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,-43.2521810981,-24.5043104591,-73.1566716055,34.1620189646
7.4033645752,4.4661647234,-5.6361365682,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,9.406555525,-1.3096298849,1.68607113213201,-7.09232008077183,1.68607113213201,-7.09232008077183,6.110277788,-4.0640873859,-12.7041677132,-16.1003278774,-1.0,-1.0,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,-43.2521810981,-24.5043104591,-73.1566716055,34.1620189646
8.1725112509,4.9592676992,-6.2264212994,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,10.2674759886,-2.2987205962,1.68607113213201,-7.09232008077183,1.68607113213201,-7.09232008077183,6.7872906983,-4.5208680488,-12.7041677132,-16.1003278774,-1.0,-1.0,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,-43.2521810981,-24.5043104591,-73.1566716055,34.1620189646
8.9512401822,5.4577386427,-6.8247067388,0.0,0.0,5.5555555556,0.0,0.0,0.0,0.0,0.0,10.2674759886,-2.2987205962,1.68607113213201,-7.09232008077183,1.68607113213201,-7.09232008077183,7.2201250027,-5.20193816,-12.7041677132,-16.1003278774,-1.0,-1.0,-1.0,-1.0,7.490605142,-25.341481102,-25.5269209691,-41.6401702305,9.6176021737,-29.8151922086,7.459586073,-25.5299811837
